"Camp.Coordination...Management","Early.Recovery","Education","Emergency.Shelter.and.NFI","Emergency.Telecommunications","Food.Security","Health","Logistics","Nutrition","Protection","Water.Sanitation.Hygiene"
"Haiti","Central African Republic","Central African Republic","Afghanistan","Afghanistan","Afghanistan","Afghanistan","Central African Republic","Afghanistan","Afghanistan","Afghanistan"
"Iraq","Nigeria","Chad","Central African Republic","Central African Republic","Central African Republic","Central African Republic","Democratic Republic of the Congo","Central African Republic","Central African Republic","Central African Republic"
"Pakistan","Philippines","Colombia","Colombia","Ethiopia","Chad","Chad","Iraq","Chad","Chad","Chad"
"Philippines","Yemen","Democratic Republic of the Congo","Democratic Republic of the Congo","Guinea","Colombia","Colombia","Mali","Democratic Republic of the Congo","Colombia","Colombia"
"South Sudan",NA,"Ethiopia","Indonesia","Indonesia","Democratic Republic of the Congo","Côte d'Ivoire","Mauritania","Ethiopia","Democratic Republic of the Congo","Côte d'Ivoire"
"Yemen",NA,"Iraq","Iraq","Mali","Ethiopia","Democratic Republic of the Congo","Mozambique","Mali","Ethiopia","Democratic Republic of the Congo"
NA,NA,"Kenya","Madagascar","Mozambique","Guinea","Ethiopia","Niger","Niger","Guinea","Ethiopia"
NA,NA,"Mali","Mali","Niger","Indonesia","Guinea","Pacific Region","Nigeria","Haiti","Guinea"
NA,NA,"Nigeria","Mozambique","Pakistan","Iraq","Haiti","South Sudan","Philippines","Indonesia","Haiti"
NA,NA,"occupied Palestinian territory","Nigeria","Philippines","Madagascar","Indonesia","Syria","Somalia","Madagascar","Indonesia"
NA,NA,"Pakistan","Pacific Region","South Sudan","Mali","Iraq","Yemen","South Sudan","Mali","Iraq"
NA,NA,"Philippines","Philippines","Syria","Mozambique","Madagascar",NA,"Sudan","Mozambique","Mali"
NA,NA,"Somalia","Somalia",NA,"Niger","Mali",NA,"Yemen","Niger","Niger"
NA,NA,"South Sudan","South Sudan",NA,"Nigeria","Mozambique",NA,NA,"Nigeria","Nigeria"
NA,NA,"Sudan","Sudan",NA,"Pacific Region","Niger",NA,NA,"occupied Palestinian territory","occupied Palestinian territory"
NA,NA,"Yemen",NA,NA,"Pakistan","Nigeria",NA,NA,"Pacific Region","Pacific Region"
NA,NA,NA,NA,NA,"Philippines","Pacific Region",NA,NA,"Pakistan","Philippines"
NA,NA,NA,NA,NA,"Somalia","Pakistan",NA,NA,"Philippines","Somalia"
NA,NA,NA,NA,NA,"South Sudan","Philippines",NA,NA,"Somalia","South Sudan"
NA,NA,NA,NA,NA,"Sudan","Somalia",NA,NA,"South Sudan","Yemen"
NA,NA,NA,NA,NA,"Yemen","South Sudan",NA,NA,"Sudan","Zimbabwe"
NA,NA,NA,NA,NA,"Zimbabwe","Sudan",NA,NA,"Yemen",NA
NA,NA,NA,NA,NA,NA,"Yemen",NA,NA,"Zimbabwe",NA
NA,NA,NA,NA,NA,NA,"Zimbabwe",NA,NA,NA,NA
